,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
122,Arden Heights,40.556413,-74.1735044,Piccolino's italian Restaurant,40.55153846012257,-74.1497458477389,Italian Restaurant
123,Arden Heights,40.556413,-74.1735044,Ralph's Italian Ices,40.5372218243229,-74.15016953160824,Ice Cream Shop
124,Arden Heights,40.556413,-74.1735044,Freshkills Park,40.57883097400664,-74.1878171503988,Park
125,Arden Heights,40.556413,-74.1735044,Massage Envy - Staten Island,40.5782854,-74.1639818,Spa
126,Arden Heights,40.556413,-74.1735044,Andrew's Diner,40.53837910212076,-74.14924534697562,Diner
127,Arden Heights,40.556413,-74.1735044,Bagels R Us,40.54572053421664,-74.15875554084776,Bagel Shop
128,Arden Heights,40.556413,-74.1735044,Miller's Ale House,40.575765,-74.169675,Restaurant
129,Arden Heights,40.556413,-74.1735044,Bath & Body Works,40.58245992536675,-74.16575299021864,Cosmetics Shop
130,Arden Heights,40.556413,-74.1735044,Play Sports Bar,40.54041781367623,-74.17719621448708,Sports Bar
131,Arden Heights,40.556413,-74.1735044,Shake Shack,40.58184389662401,-74.16754939899982,Burger Joint
132,Arden Heights,40.556413,-74.1735044,Costco,40.572691331466544,-74.16882092754945,Warehouse Store
133,Arden Heights,40.556413,-74.1735044,Arirang Hibachi Steakhouse,40.5495386071544,-74.15012268209598,Japanese Restaurant
134,Arden Heights,40.556413,-74.1735044,Trader Joe's,40.58999715702977,-74.16571466938142,Grocery Store
135,Arden Heights,40.556413,-74.1735044,Chick-fil-A,40.5824169,-74.1665108,Food Service
136,Arden Heights,40.556413,-74.1735044,YMCA,40.54245303385158,-74.16304289619244,Gym
137,Arden Heights,40.556413,-74.1735044,Misaki Sushi,40.542515431898444,-74.20738828365053,Sushi Restaurant
138,Arden Heights,40.556413,-74.1735044,Bed Bath & Beyond,40.5772815,-74.1687061,Furniture / Home Store
139,Arden Heights,40.556413,-74.1735044,Apple Staten Island,40.5824188,-74.165888,Electronics Store
140,Arden Heights,40.556413,-74.1735044,Target,40.574831143162804,-74.16769836085751,Big Box Store
141,Arden Heights,40.556413,-74.1735044,H&M,40.581664043884714,-74.16575845396443,Clothing Store
142,Arden Heights,40.556413,-74.1735044,Fiore Di Mare,40.542865,-74.142459,Italian Restaurant
143,Arden Heights,40.556413,-74.1735044,Ciro,40.53340597944858,-74.1926452705801,Italian Restaurant
144,Arden Heights,40.556413,-74.1735044,The Lego Store,40.581899,-74.16590699999999,Toy / Game Store
145,Arden Heights,40.556413,-74.1735044,Barnes And Noble,40.581899,-74.16590699999999,Bookstore
146,Arden Heights,40.556413,-74.1735044,Flanagan's Tavern,40.551159394722376,-74.14949753070722,Bar
147,Arden Heights,40.556413,-74.1735044,Great Kills Park,40.548113311332024,-74.12741661071777,Park
148,Arden Heights,40.556413,-74.1735044,Family Fruit,40.557096971235154,-74.20871439234169,Fruit & Vegetable Store
149,Arden Heights,40.556413,-74.1735044,Home Goods,40.574150070520815,-74.16777910661828,Furniture / Home Store
150,Arden Heights,40.556413,-74.1735044,The Container Store,40.57951620926363,-74.1661909356109,Furniture / Home Store
151,Arden Heights,40.556413,-74.1735044,Greenbelt Nature Center,40.586615957446355,-74.1469170064425,Trail
152,Arden Heights,40.556413,-74.1735044,Capizzi,40.538880999999996,-74.148361,Italian Restaurant
153,Arden Heights,40.556413,-74.1735044,La Tourette Golf Course,40.57560315858914,-74.14748744732294,Golf Course
154,Arden Heights,40.556413,-74.1735044,Gateway Beach,40.53592919554987,-74.1313278865433,Beach
155,Arden Heights,40.556413,-74.1735044,Historic Richmond Town,40.572803296642405,-74.13342974452375,History Museum
156,Arden Heights,40.556413,-74.1735044,HomeGoods,40.5741717,-74.1672551,Department Store
157,Arden Heights,40.556413,-74.1735044,Starbucks,40.58670600839008,-74.1679909947675,Coffee Shop
158,Arden Heights,40.556413,-74.1735044,Burger Express,40.574708023967524,-74.21951077339187,Burger Joint
159,Arden Heights,40.556413,-74.1735044,Outback Steakhouse,40.57885213225744,-74.16446096224347,Steakhouse
160,Arden Heights,40.556413,-74.1735044,Gino's Villa Monte Pizzeria & Restaurant,40.5785138,-74.1689286,Pizza Place
161,Arden Heights,40.556413,-74.1735044,JCPenney,40.5812698,-74.1637704,Department Store
162,Arden Heights,40.556413,-74.1735044,Giulliana's Restaurant,40.53985024143595,-74.14847555934446,Italian Restaurant
163,Arden Heights,40.556413,-74.1735044,Marina Cafe,40.54380429240914,-74.14049518350717,American Restaurant
164,Arden Heights,40.556413,-74.1735044,Sarku Japan,40.58152335460953,-74.16614748238585,Japanese Restaurant
165,Arden Heights,40.556413,-74.1735044,Bloomingdale Park,40.53780077437913,-74.20917675476879,Park
166,Arden Heights,40.556413,-74.1735044,Bella Nail Spa,40.57309395245314,-74.13666680155636,Spa
167,Arden Heights,40.556413,-74.1735044,Netcost Market,40.56467410007768,-74.13366301684205,Grocery Store
168,Arden Heights,40.556413,-74.1735044,DSW Designer Shoe Warehouse,40.587021,-74.166937,Shoe Store
169,Arden Heights,40.556413,-74.1735044,Canlon's,40.56521399082132,-74.12679355909032,Restaurant
170,Arden Heights,40.556413,-74.1735044,Red Mango,40.5815,-74.164577,Frozen Yogurt Shop
171,Arden Heights,40.556413,-74.1735044,Heartland Bagels - Rossville Ave,40.55156653160681,-74.21225727269687,Bagel Shop
172,Arden Heights,40.556413,-74.1735044,RWJ Rahway Fitness & Wellness Center at Carteret,40.57834797339095,-74.21991081668882,Gym
173,Arden Heights,40.556413,-74.1735044,Casa verde,40.573267,-74.136584,Italian Restaurant
174,Arden Heights,40.556413,-74.1735044,Mother Moose,40.59792795095624,-74.18111146428373,Bakery
175,Arden Heights,40.556413,-74.1735044,Chipotle Mexican Grill,40.581662,-74.16773,Mexican Restaurant
176,Arden Heights,40.556413,-74.1735044,Wolfe's Pond Park,40.517981507972586,-74.18915291461276,Park
177,Arden Heights,40.556413,-74.1735044,Zara’s,40.581667,-74.165929,Clothing Store
178,Arden Heights,40.556413,-74.1735044,SEPHORA,40.582072,-74.166079,Cosmetics Shop
179,Arden Heights,40.556413,-74.1735044,European Wax Center,40.591103290615415,-74.164488327634,Health & Beauty Service
180,Arden Heights,40.556413,-74.1735044,Jacques Marchais Museum of Tibetan Art,40.576315,-74.138113,Art Museum
181,Arden Heights,40.556413,-74.1735044,AMC Dine-In Staten Island 11,40.580981214299264,-74.16721136454804,Movie Theater
182,Arden Heights,40.556413,-74.1735044,El Pollo II Restaurant,40.590629,-74.191982,Spanish Restaurant
183,Arden Heights,40.556413,-74.1735044,Dunkin',40.560887859534056,-74.13511988649083,Donut Shop
184,Arden Heights,40.556413,-74.1735044,Domenico's Pizzeria,40.52597613753762,-74.20157601498643,Pizza Place
185,Arden Heights,40.556413,-74.1735044,Da Noi Restaraunt,40.58778029506639,-74.19704127424215,Italian Restaurant
186,Arden Heights,40.556413,-74.1735044,Heartland Bagels - Richmond Ave,40.59146407482658,-74.16418595565926,Bagel Shop
187,Arden Heights,40.556413,-74.1735044,Macy's,40.584,-74.166,Department Store
188,Arden Heights,40.556413,-74.1735044,West Shore Inn Steakhouse,40.59414002159549,-74.18673466874999,Steakhouse
189,Arden Heights,40.556413,-74.1735044,Holy Schnitzel,40.58977776384231,-74.16439040846775,Restaurant
190,Arden Heights,40.556413,-74.1735044,Seguine Hot Bagels,40.52600655156505,-74.20160982835095,Bagel Shop
191,Arden Heights,40.556413,-74.1735044,Staten Island Golf Practice Center,40.55269553609818,-74.22673912591115,Golf Course
192,Arden Heights,40.556413,-74.1735044,Pier 1 Imports,40.589745292312365,-74.16600388764476,Furniture / Home Store
193,Arden Heights,40.556413,-74.1735044,City Wine Cellar,40.59156391867557,-74.16403582540441,Liquor Store
194,Arden Heights,40.556413,-74.1735044,Classic Pizza,40.5755147122092,-74.12790539756193,Italian Restaurant
195,Arden Heights,40.556413,-74.1735044,Dunkin',40.548427014196825,-74.2218396733773,Donut Shop
196,Arden Heights,40.556413,-74.1735044,Dunkin',40.58788893623654,-74.16532883678798,Donut Shop
197,Arden Heights,40.556413,-74.1735044,Better Gourmet Health Kitchen,40.592242923311616,-74.189909518945,Sandwich Place
198,Arden Heights,40.556413,-74.1735044,Carteret Waterfront Park,40.57361638258093,-74.22113957487102,Park
199,Arden Heights,40.556413,-74.1735044,P.C. Richard & Son,40.589120196284775,-74.16661490803084,Electronics Store
