,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
74,3,Flatbush,Brooklyn,40.6414876,-73.9593998,92.21,621,90.4,20,1100,72.0,12787,5.0,219,0,21.0
75,0,Flatiron District,Manhattan,40.740083,-73.9903489,341.92,80,345.66,65,2000,225.0,1419,4.0,177,0,18.0
76,0,Flatlands,Brooklyn,40.6232714,-73.9321664,126.43,83,196.85,22,1700,85.0,1839,8.0,219,0,22.0
77,3,Flushing,Queens,40.7674987,-73.833079,93.51,426,111.43,15,1500,65.0,14818,19.0,474,0,35.0
78,0,Fordham,Bronx,40.8592667,-73.8984694,69.44,62,41.29,21,223,60.0,956,3.0,101,0,15.0
79,0,Forest Hills,Queens,40.718106,-73.8448469,121.62,144,211.03,16,2350,80.0,3210,9.0,153,0,22.0
80,3,Fort Greene,Brooklyn,40.6920638,-73.97418739999999,151.37,489,113.66,25,1200,130.0,10608,5.0,273,0,22.0
81,0,Fort Hamilton,Brooklyn,40.6094454,-74.02854339999999,93.82,55,40.23,20,200,90.0,745,4.0,116,0,14.0
82,0,Fort Wadsworth,Staten Island,40.6012117,-74.0579185,800.0,1,0.0,800,800,800.0,0,0.0,0,0,0.0
83,0,Fresh Meadows,Queens,40.7335179,-73.7801447,99.5,32,79.97,39,375,72.0,1045,19.0,142,0,33.0
84,0,Glendale,Queens,40.7016662,-73.8842219,90.8,54,56.84,25,299,84.0,1459,10.0,132,0,27.0
85,3,Gowanus,Brooklyn,40.6751161,-73.9879753,158.8,247,134.42,35,1333,129.0,7709,9.0,378,0,31.0
86,3,Gramercy,Manhattan,40.7367783,-73.9844722,222.75,338,257.57,45,3000,165.0,7682,5.5,323,0,23.0
87,0,Graniteville,Staten Island,40.6183926,-74.15528119999999,68.67,3,47.54,20,115,71.0,123,36.0,80,7,41.0
88,0,Grant City,Staten Island,40.5820492,-74.1048641,57.67,6,22.79,29,80,66.0,161,6.0,81,0,27.0
89,0,Gravesend,Brooklyn,40.5918636,-73.9768653,79.01,68,52.69,20,300,70.0,1336,1.5,224,0,20.0
90,0,Great Kills,Staten Island,40.5543273,-74.156292,100.6,10,62.76,40,235,83.0,264,9.0,82,1,26.0
91,4,Greenpoint,Brooklyn,40.7304701,-73.95150319999999,144.95,1114,308.97,10,10000,119.0,19417,4.0,328,0,17.0
92,3,Greenwich Village,Manhattan,40.7335719,-74.0027418,263.41,391,434.84,43,6000,197.5,6526,4.0,209,0,17.0
93,0,Grymes Hill,Staten Island,40.6187151,-74.09347509999999,159.14,7,73.27,89,300,125.0,74,1.0,69,0,11.0
94,1,Harlem,Manhattan,40.8115504,-73.9464769,118.97,2657,155.99,10,5000,89.0,75962,8.0,607,0,29.0
95,2,Hell's Kitchen,Manhattan,40.7637581,-73.9918181,204.79,1957,191.23,10,4100,168.0,50227,5.0,430,0,26.0
96,0,Highbridge,Bronx,40.836916,-73.9271294,71.11,27,41.05,10,240,70.0,1318,32.0,219,0,49.0
97,0,Hollis,Queens,40.7112203,-73.762495,88.64,14,38.51,50,175,77.5,164,5.5,44,0,12.0
98,0,Holliswood,Queens,40.7112203,-73.762495,135.75,4,71.36,79,239,112.5,15,2.0,11,0,4.0
99,0,Howard Beach,Queens,40.6571222,-73.8429989,115.4,20,65.13,40,250,100.0,272,2.5,83,0,14.0
100,0,Howland Hook,Staten Island,40.6439921,-74.1823664,100.0,2,0.0,100,100,100.0,41,20.5,21,20,20.0
101,0,Huguenot,Staten Island,40.5373275,-74.1945884,118.33,3,54.85,75,180,100.0,167,20.0,136,11,56.0
102,0,Hunts Point,Bronx,40.8094385,-73.8803315,50.5,18,27.18,35,150,40.0,176,7.0,36,0,10.0
103,0,Inwood,Manhattan,40.8677145,-73.9212019,88.9,252,53.23,22,359,77.5,4690,4.0,261,0,19.0
104,0,Jackson Heights,Queens,40.7556818,-73.8830701,80.9,186,46.37,23,260,68.5,5061,8.5,204,0,27.0
